county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13059,Clarke County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13069,Coffee County,20060,Douglas GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13071,Colquitt County,34220,Moultrie GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13073,Columbia County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13075,Cook County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13077,Coweta County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13081,Crisp County,18380,Cordele GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13083,Dade County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13085,Dawson County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13087,Decatur County,12460,Bainbridge GA,Micropolitan Statistical Area,533,Tallahassee-Bainbridge FL-GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13091,Dodge County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13093,Dooly County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13095,Dougherty County,10500,Albany GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13097,Douglas County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13099,Early County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13101,Echols County,46660,Valdosta GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
